,,,,,,,,,,,,,,
,Monitoramento dos Indicadores de Violência Contra as Mulheres e Meninas no Estado do Rio Grande do  Sul no Ano de 2012,,,,,,,,,,,,,
,Delitos Enquadrados na Lei Maria da Penha,,,,,,,,,,,,,
,Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
,,,,,,,,,,,,,,
,Geral,5.972,5.614,5.645,4.865,4.655,4.427,5.180,5.131,5.232,5.221,5.207,5.823,62.972
,Fonte: SIP/PROCERGS - Atualizado em 9/1/2018. Dados revisados em 21/08/2019.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Observações:,,,,,,,,,,,,,
,1. Homicídios enquadrados pelo recorte de gênero.,,,,,,,,,,,,,
,"2. Os dados presentes na planilha representam um recorte temporal, retratando os fatos  registrados na data da extração da base de dados, sujeito ainda a alterações provenientes da revisão de ocorrencias duplicadas, apuração de informações oriundas de investigações, diligências, perícias, correção do fato   no final da investigação policial, etc.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"3. Nos casos dos femicídios tentados observou-se que fatores como as ações de incentivo para que as vítimas comuniquem as violências sofridas, os recentes concursos públicos que ampliaram o número de servidores e também qualificaram o atendimento prestado, a inclusão do tema em cursos de formação e treinamentos, a atenção no atendimento as vítimas, a ampliação da rede de atendimento as mulheres, com a criação de novas DEAMs  em todo o Estado, e a instalação de mais delegacias de homicídios na capital, aliadas à criação de  serviços inovadores e reconhecidos internacionalmente, como as ""Patrulhas Maria da Penha"", as ""Salas Lilás"" e as ações dos programa ""Metendo a Colher"" da SUSEPE, acabaram por motivar enquadramentos mais rigorosos, como os casos de femicídio tentado.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Variação de Indicadores entre 2016 e 2017,,,,,,,,,,,,,
,Diferença,Indicador,,,,,,,,,,,,
,,Ameaça,Lesão Corporal,Estupro,Feminicídio Consumado,Feminício Tentado,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Absoluta,-1.660,293,87,-13,59,,,,,,,,
,Relativa,"-4,2","1,3","5,5","-13,5","22,4",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Observações:,,,,,,,,,,,,,
,"1. O comparativo entre os períodos de janeiro a dezembro de 2016 e 2017 apontou as seguintes situações: no caso das ameças, constatou-se uma redução de 2.480 crimes (de 39.606 para 37.946), ou 4,2% a menos nos casos. ",,,,,,,,,,,,,
,"2. Fenômeno que não se observou nas lesões corporais as quais tiveram um aumento. Foram 293 casos a mais neste período de 2017 (de22.667  para 22.960), o que representou um aumento de1,3%. ",,,,,,,,,,,,,
,"3. Os casos de estupro também sofreram um incremento no  mesmo período. Foram 1.574 casos em 2016, contra 1.661 em 2017. O aumento foi de 87 crimes ou 5,5%. ",,,,,,,,,,,,,
,"4. Também os femicídios consumados sofreram uma queda, de 96 para 83 casos (13,5 %). Foram 13 vítimas a menos em comparação ao mesmo período do ano passado. Já as tentativas sofreram um acréscimo de 23,2%, um aumento de 263 para 322 tentativas.",,,,,,,,,,,,,
